"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7823146398342","13.8932887364353","5.93430995713365","3.3181265049917","14.3066936587685","2.67899220419694","7.47739027564582","10.6178053725364","14.3010957947222","0.589471891809731","6.51191153751133","7.8914521331569","-1.83393506560532","-3.30403247080233","16.6885197018946","","","","","","","","",
"Afghanistan","AFG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4667337111672","","","","6.18185118633306","10.783102129997","14.3189352836242","12.2695842543105","9.39527018699796","",
"Angola","AGO","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-84.6516161590206","-94.2199362860634","-29.1116178866181","7.15592815756895","-72.5550475505559","-60.7975192144598","-5.01929356780027","-33.4621460875102","6.07311485142902","30.4317601061658","32.2526806896379","5.72335039681167","4.51297940275033","-5.97247934306262","24.9520126216708","0.122277226251459","-4.35695021451151","8.95317368857298","12.9788233055756","17.9985117670244","21.7743258199178","-9.13568560792329","",
"Albania","ALB","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-65.5164298876671","-39.682573742938","-10.6561202666796","13.3335716046773","-12.2577868003077","","","19.7784008984902","17.4273778442808","15.799377824649","12.5900817313478","8.43721025959799","9.18787178692285","10.1869798206666","9.97496367940344","10.1600835954279","5.00724866791432","9.99890932236001","7.97436387149243","9.89351382496936","9.73906797107729","9.50905681502056","7.0001181906389","8.6173059261355","9.88681156542834","",
"Andorra","AND","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.01008579301131","14.2311110519169","10.5687442622144","9.75165232681387","12.5543666809332","13.1174683581839","9.94507167767402","","2.23848194902221","-0.155134817532656","-10.6311233988099","-2.87407789008492","-3.64886063141466","0.910192846561182","3.72784898103718","-4.05420754920685","-8.12563716176765","-0.948617013930111","","-1.04785075197962","-11.386251264696","4.64460790064345","-10.4889121525455","",
"Armenia","ARM","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.1051682861002","30.9943493972822","34.1346115894274","38.7736674415257","33.3984630542697","21.7339742432576","18.3327469126979","15.5583254979699","11.5923305120572","14.2817319162453","11.3795280460686","12.7435114090599","10.4349146538126","15.8034515484425","10.6076357887352","12.9197578932397","11.2811932930888","12.21684304559","13.7812486605254","16.1800096765955","16.7527157215211","",
"American Samoa","ASM","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","8.23489592721828","9.4588211023167","5.3582892913631","5.5877244593609","3.4812216340377","-1.07140101980237","7.73179913563888","10.83755484158","9.78872291677539","9.99241544963923","10.6695655928552","9.59020182732675","10.0511649827273","9.01370812445565","9.9729650526347","9.87658228825984","10.4117093946692","10.4571718536799","9.99224272847579","10.6119757535","13.919141693127","10.1562579185773","6.63746405361794","10.4397031640698","6.45824832265072","5.7950505623237","8.13196020526217","9.42339479535483","9.59992790699111","7.49088035046345","11.5401871709311","7.8065215356361","7.19930090273849","7.89670702648233","",
"Australia","AUS","Real interest rate (%)","FR.INR.RINR","","2.21300040711399","5.58285215341879","3.27431528719617","1.72299357902031","2.25893738338988","2.62521244830464","0.477382937381195","3.26463083063631","1.06165580044752","1.68307972577089","1.96900658248178","0.78727379889843","-1.51836450804569","-6.03962884750838","-5.32833683284709","-3.58898687646383","-1.38301334485284","1.05989087921745","0.455171205866759","-0.0300401087936114","2.10803825344621","1.40434754607017","2.05247610956846","3.36589232027739","7.44904722452763","8.08780191354038","7.49280897564577","6.41057362147805","6.58859937171805","9.64543734379876","10.0683177659678","8.95375896737405","8.46454833944349","8.00673624067663","8.1016609635085","6.85829756987094","5.87017460283478","5.34290010537991","6.2069518619826","5.03064439858578","2.03568147810198","3.40348201739243","3.39159773131115","3.64801094116908","3.42237294471174","2.42509266770069","3.06756066079361","4.18230033508502","1.04414113735465","6.20693077242061","1.46269082295697","4.82078501106008","6.35625117147312","4.44726708692185","6.3210138308977","5.85879574545098","",
