"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Burkina Faso","BFA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","105351","112047","117581","124966","133614","141177","149270","159948","170721","184829","201595","223843","250628","276732","313520","351807","390414","411907","443328","472979","504414","530013","562644","600032","650195","700995","","777691","816393","852160","901291","938238","1012150","1139512","1270837","1390571","1561258","1742439","1906279","2047630","2205295","2344031","2466379","2594024","2706803","2873049","",
"Bangladesh","BGD","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","5283787","5040003","6416954","7793907","7747559","8349834","8674004","8227950","8219313","8235237","8240169","8285807","8400000","8808028","8915442","8920292","9115554","9206710","11075476","11285445","11939949","","","","","","","","","","","","","","","16219478","16396870","16312907","16001605","16539389","16987106","18432499","","19585988","","19067761","18604801","",
"Bulgaria","BGR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","542445","528247","514002","501299","484590","495645","507375","522639","528362","521279","523156","543644","556037","571611","579356","567615","570809","552520","529094","478887","455888","439637","429594","423818","425286","433926","431790","425511","411726","392876","374361","349616","333016","314221","290017","273045","267584","262701","261007","260340","255086","252372","253675","258840","261793","261969","",
"Bahrain","BHR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","38711","39609","40530","41631","43965","44857","45694","46326","47825","48672","48451","49298","50217","53575","55496","57330","58488","60605","63179","64000","66597","66694","68898","70513","72329","72526","72876","74058","76302","77720","79407","81057","81887","82708","83299","89721","","","","","93038","95524","99702","103806","108154","112179","",
"Bahamas, The","BHS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","32142","32174","30998","31441","31727","31707","31928","32315","32123","31842","32854","32687","32664","30570","32914","32848","","","","32899","32873","33374","33917","33343","33175","34378","33512","33999","33780","","","34153","","36070","37050","35921","37122","36833","34865","33977","","","","","","30655","",
"Bosnia and Herzegovina","BIH","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198800","181917","173647","175271","170842","166620","162528","161023","162629","161560","",
"Belarus","BLR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","946400","912300","876500","836623","801428","768582","741733","727422","721800","733100","747700","762800","772300","780800","787300","794300","837300","846400","852300","868000","614800","620100","635100","634600","636300","632100","625000","614700","632083","599732","560931","511863","437005","403841","379577","367736","361493","362304","362110","357796","353801","351780","355634","368783","387051","410487","",
"Belize","BLZ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","25102","25166","25575","25901","","25924","26534","27024","","28041","27932","28546","29120","30652","30994","31418","32550","33370","34155","35754","37377","38084","39220","40584","41423","42787","42863","","44180","44788","45246","44430","47187","48996","50247","51497","51898","51994","52629","52650","52361","53605","52573","51978","52072","52333","",
"Bermuda","BMU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","7986","7750","7398","7185","6919","6808","6614","6466","5961","5986","5934","5881","5750","5530","5398","","","","","","","","","","5962","","5883","","","","4959","4910","4879","4810","4760","4678","","","","4473","4347","4216","4122","4100","4147","","",
"Bolivia","BOL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","609174","620865","646341","679557","710943","760956","795508","790081","816377","847777","856933","889615","","950896","1023633","","1043770","1129846","","1057479","1097661","1133818","1156679","1189774","1236316","1287601","1326463","1365325","1400205","1444879","1461816","1469558","1497204","1494321","1504493","1512676","1508194","1512002","1508389","1469495","1429084","1389709","1374294","1360676","1346171","1344474","1354480","",
"Brazil","BRA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","12812029","13623388","13676582","13995216","14009392","13924849","13524834","14163728","14814043","15719836","16089731","15984805","16694572","16378400","17488899","17331575","","17568716","18822709","18409050","20312241","19002864","19231504","19410183","19930484","","","20568128","","20939076","20211506","19727684","19380387","18919122","18979209","18661105","","17996083","17812436","17451886","16893490","16486880","16134889","16760693","16630217","17035929","","",
