"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"European Union","EUU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","386230","379611","380865","393242","406058","453737","438804","422638","406921","390492","373347","365418","365965","369047","373583","379339","386914","389485","388756","389067","390587","392695","392537","390892","387306","384369","380932","381078","382746","388063","392150","393267","392741","387934","381785","372128","364902","357403","351095","347060","345615","347245","348432","351766","355231","359635","",
"Fiji","FJI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","97103","100508","102874","105659","105893","104950","103396","101986","101149","99119","98890","99418","","102319","105176","109032","112422","114740","","","","122008","121397","","121290","118631","115666","115965","116410","115945","114710","115312","114267","113432","113449","","109702","103641","102543","100967","","101384","102778","105037","","108727","","",
"France","FRA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","4939683","4853725","4759935","4724128","4670406","4601550","4568134","4618436","4647552","4650954","4610361","4535613","4387003","4259598","4126435","4115846","4118403","4151664","4176391","4163161","4149143","4109797","4060408","4078370","4071599","4065005","4004704","3979453","3944227","3884560","3837902","3807739","3791555","3783197","4015490","4051861","4105628","4139284","4152622","4159086","4171826","4155596","4171003","4188552","4255988","","",
"Faroe Islands","FRO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","5539","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","22622","23096","24055","23605","23649","23321","24212","24331","24332","","","","","","","","","","","","","","","","","","","","","","","","","19105","18793","","18512","","","","","","","14307","13758","","",
"Gabon","GAB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","100625","105601","110466","114172","121407","128552","130398","140632","141569","148520","155081","160349","165559","172201","178813","183607","191280","195049","207023","","","210000","","229713","247018","250693","256171","","265244","","265714","281871","279816","","","","","","","","317946","","","","","","",
"United Kingdom","GBR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","5806349","5880238","5888063","5876761","5811517","5725167","5636473","5495784","5326864","5133710","4910724","4688572","4474000","4368700","4275000","4296000","4322000","4370000","4414966","4487000","4532500","4559500","","","","","","4664429","4661234","4631623","4596110","4536143","4488162","4685733","4634991","4517618","4409184","4465021","4416474","4421903","4419840","4523583","4622158","4737068","4617321","","",
"Georgia","GEO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","322292","","","","","311458","","","","","352393","344447","309153","301732","291175","288509","293325","301022","302488","298352","277119","255029","239298","363951","338222","326597","322249","311265","298935","289137","285539","287245","287343","285329","288541","291447","",
"Ghana","GHA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","966906","975042","1025872","1035163","1072032","1180449","1237557","1270770","1320757","1371730","1443000","1504732","1504982","1481398","1550624","1505819","1565236","1581870","1705843","1703074","1945422","2011602","2047288","2138635","2154646","2197172","2333347","","2377444","2560886","2446417","2586434","2524237","2678912","2929536","3130575","3367157","3625178","3659116","","3860381","4062026","4105913","4117152","4342315","4358176","4393061",
"Gibraltar","GIB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3382","3821","2812","2823","2759","2808","2677","2778","2737","2702","2750","2844","2852","2934","2830","","","","","","","","","","","","2729","","2607","2366","2377","","","","","","","3211","3255","","","","","","","2796","",
"Guinea","GIN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","191287","163982","190576","196411","203143","198849","225727","237999","252100","262833","257547","249905","247702","246129","287804","276438","270140","288914","302809","310064","346807","359406","421869","471792","544729","584161","649835","674732","726561","790497","853623","997645","1073458","1147388","1206743","1258038","1317791","1364491","1389685","1453355","1536722","1599839","1666156","1729630","","","",
"Gambia, The","GMB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","17140","17463","19421","20724","22424","24617","25513","27560","32220","37468","47101","53000","58356","64531","69512","72917","74455","75093","73673","77767","86307","90645","97262","105471","113241","124513","133409","141567","170371","174626","181835","182562","196426","204731","205347","207474","218638","220931","224058","229013","228495","244033","255957","274903","293503","308729","329828",
"Guinea-Bissau","GNB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","27974","32896","41437","49360","75634","81890","","83139","80590","76709","74539","74803","74359","74979","76268","","77004","75892","79035","","","79882","79611","91103","100369","106338","117033","125287","","150041","181655","","","232292","252488","269287","","","","278890","","","","","","","",
"Equatorial Guinea","GNQ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","31600","","","35977","","","","","","","44499","45428","52021","61532","","","","","","","","","72725","75751","","","","","74940","73377","78477","78390","73771","","75809","","","81099","82417","85061","86821","92029","","","93396","","",
"Greece","GRC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","907446","905542","909441","922298","927848","935730","937780","932978","922401","899546","900641","891488","890171","888440","889648","887735","865660","868335","853527","834688","813353","784707","749312","723701","710774","675267","652040","648608","645534","645313","636460","646343","652052","657492","650242","645324","639083","","","642639","637020","636713","633534","628753","643762","","",
"Grenada","GRD","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","30355","29795","28745","28129","22072","21195","20259","19618","19114","18720","18076","17739","17704","17265","17171","16538","17963","18231","","19180","19811","21365","22345","22576","22679","21097","23313","22286","20017","16178","15974","17378","16598","15819","14427","","13733","13873","14186","13663","","","12948","13061","13445","13196","",
"Greenland","GRL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","505691","531122","555975","571294","601189","627126","639783","680274","718846","756541","803404","874697","848116","930130","979888","1016474","1040781","1097851","1149134","","1164937","1249413","1340657","1393921","1412720","1470754","1510811","1544709","1685411","1823989","1909389","1971539","2075694","","2280706","2345301","2405041","2448976","2500575","2659776","2653483","2644683","2556314","2499076","2417429","2381916","2350849","",
"Guam","GUM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","17927","18437","18673","18477","17811","20215","20145","","17744","18037","18093","17945","17807","17353","17130","16783","16733","16660","15516","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","130484","130671","131580","132023","","130240","140394","138144","137312","132075","130832","130003","126372","121869","117211","113857","112581","114700","118015","","104241","100116","98134","98132","99664","100252","102000","","107207","108909","109292","","110828","","116756","110503","109243","107456","100760","99241","98662","94488","","","","","",
"High income","HIC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","85588596.60722","85965523.03285","85911191.55136","85792950.60644","84784568.70941","83990656.5754","83309857.25945","82497054.72197","81879048.48128","81235927.19691","82694711.7524","81965425.37584","81725868.16582","80534869.20105","79380036.21195","78601398.75405","78193423.09431","77992524.2688","77954525.80746","78169742.35499","78512406.27002","78373478.37591","78213688.54825","78332624.82662","78336942.2462","78725116.33836","79102969.53421","79065749.90428","79433654.98988","79512638.67702","79265432.29292","79181123.4728","78303284.98056","77856196.67014","77388758.53607","76984382.79033","76475347.57899","76364991.11098","76201294.69666","75706388.55283","75239799.64749","75023119.77764","74952578.97931","75326483.1138","75722197.40501","76338070.04597","76773822.76186","",
"Hong Kong SAR, China","HKG","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","739619","739944","725172","704536","677421","642611","606860","574822","553530","542327","540260","537123","538458","539856","536220","534903","531993","534309","535037","534450","524919","515938","501625","485061","476847","467718","","461911","480069","496801","498175","497376","487465","472863","451171","429892","414501","389937","369047","348549","334415","326208","320654","324171","332531","340932","",
"Honduras","HND","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","381685","392668","412050","420714","442668","460744","483210","493223","524720","575152","601337","613633","671786","703608","736902","765809","810412","","863313","","889346","908446","959466","990352","1008181","1008092","1032595","1054964","1067582","1080869","1094792","","","1255859","1257358","1231533","1293333","1251733","1276495","1265963","1274904","1259405","1216739","1179022","1150042","1154139","1145093","",
"Heavily indebted poor countries (HIPC)","HPC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206976","212986","210212","207890","203933","206121","202999","199084","195638","193179","192004","","196253","194748","190693","182296","174192","167452","162186","159945","160275","160819","162355","162519","",
"Haiti","HTI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","366846","391220","411009","431607","451140","487135","510716","517723","528611","580127","642391","658102","723041","783070","819565","872500","763412","","","","","926095","996856","1090366","1192986","1305620","1429280","1485722","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","528053","517494","518002","528074","548773","567331","584960","590268","584236","586230","602318","647100","682038","707729","708415","677387","644816","596965","561356","530993","506800","497771","494107","507617","508003","507238","502555","504046","503302","500946","489768","477865","464013","446610","430561","415858","399250","394246","389510","387969","387262","384834","385466","393020","395549","394433","",
"IBRD only","IBD","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","14870220","15519557","16140125","16643900","16892010","17776617","18779943","19783270","22024819","","","25537053","27026488","27990275","29108580","29909188","29897115","29882556","29999990","30130564","29933790","29753576","29577704","29598790","29876196","29721859","29447990","29236283","29273302","29294927","28508964","28690131","28926377","29050834","29142093","29149746","28982708","29796705","29498266","29901051","30341821","30662441","30784378","30109356","29838440","29699771","29450356","",
"IDA only","IDX","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","57045441","58818644","62400629","63125101","64855638","65660022","69060730","67360988","68602224","71183223","73873184","76105908","79506945","82590188","83932704","87440514","87129221","90459726","95739976","97318114","99118320","101577089","105370216","108200539","109043663","109734292","110390406","109412903","110985877","113612541","113826978","115194579","125568597","","","","137742645","139317990","138368129","138413842","137746817","139869904","141154752","137808906","138518028","145802543","",
"Not classified","INX","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","399700","399560","403700","399894","402219","404818","406432","410402","414624","418247","419998","420871","421539","420444","420665","420236","422150","423402","423662","422396","416747","408567","402226","391998","380983","367689","358830","465186","456564","449638","443617","445947","447618","450413","454060","461588","475836","486921","498838","506400","511466","518223","527768","536471","544856","553585","",
"Iran, Islamic Rep.","IRN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3415650","3230880","3445528","3646421","4119157","4468299","4768588","5020686","4395000","4929000","4799000","5283377","5592808","5994403","6343300","6788323","7232820","7757707","8262441","8817145","9369646","9787593","9937369","9862817","9745600","9593784","9238393","9065214","8667147","8287537","7968437","7513015","7028924","6647917","6206718","6006553","5827851","5725620","5695590","5629585","5678434","5746859","7857540","7441078","7670175","","",
"Iraq","IRQ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1098865","1195530","1297756","1408929","1523955","1776095","1949718","2048566","2459999","2609182","2615910","2637023","2620883","2698542","2754887","2816326","2920959","2996953","3023132","","3328212","2824556","2857467","","","2903923","","","3603864","3639362","","","4280602","4334609","","","4864350","","","","","","","","","","",
"Iceland","ISL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","27066","27336","27217","27046","26922","26418","25924","25138","24687","24599","24736","24809","25018","25280","25058","24603","24560","25108","25420","25525","29816","29649","29351","28960","29138","29221","29342","29705","30355","31282","31786","31465","31470","30984","30785","30421","30084","29945","29860","29568","29432","29387","29578","29892","30422","","",
"Israel","ISR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","388057","396193","405759","416206","427923","441226","452905","474427","487345","500721","517174","527968","534025","537547","534514","537493","533635","525606","544748","567496","582504","595525","618513","631916","","","662329","676676","684986","693567","702128","714410","721999","736255","757809","769328","786094","807424","821481","842079","848721","861699","883706","896526","",
"Italy","ITA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","4856953","4926336","4973881","4969667","4927452","4833415","4735301","4648504","4562441","4506566","4422888","4332584","4204272","4062756","3904143","3703108","3518316","3370509","3237594","3140113","3055883","3004264","2959564","2863279","2815631","2816128","2810158","2818053","2875852","2836333","2810337","2789880","2778877","2768386","2771247","2790254","2820150","2830056","2819193","2822146","2827564","2818734","2860957","2862666","2856247","","",
"Jamaica","JAM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","376075","387740","379496","395036","372260","371876","367525","368046","370516","363420","359488","363593","361426","355248","347705","340059","342569","333997","339163","339023","339500","","333104","","","","","","319690","326847","328496","329762","325302","331286","326411","","310021","315129","312262","294285","289612","283628","278331","266201","259449","253196","",
"Jordan","JOR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","277619","298802","326111","352696","371631","386012","402401","414490","431107","448411","454391","467696","473027","487890","504226","530906","542519","570795","575464","590275","618274","651783","669755","675316","677945","683400","","692550","706198","723508","","766093","786154","799888","804904","805457","807702","817160","","819601","834958","849390","883453","979792","","1049674","",
"Japan","JPN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","9630815","9728516","9825682","9816536","10088776","10364846","10609985","10819651","11146874","11629110","11826573","11924653","11901520","11739452","11464221","11095372","10665404","10226323","9872520","9606627","9373295","9157429","8947226","8798082","8612106","8370246","8105629","7883565","7691872","7528907","7394582","7325866","7268928","7257223","7231854","7229135","7220111","7166285","7156039","7098862","7029265","6923951","6801716","6714539","6638174","","",
"Kazakhstan","KAZ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","1064000","","","","","1147700","","","1142400","1162777","1205572","1239817","1258529","1251111","1367066","1372600","1342035","1290810","1248900","1208320","1190069","1158299","1120005","1079598","1023974","972931","947807","956019","950976","957919","985599","1008459","1056916","1122282","1196027","1273774","1356500",
"Kenya","KEN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","1263738","1352348","1492679","1621142","2491606","2653716","2651403","2737709","2736389","3416557","3575222","3612669","3813077","3938522","3927269","3884806","4012777","4138463","4212741","4389718","4389124","4437893","4514876","4610074","4557496","4540147","","","4828169","4782375","5034858","5148371","4903529","5811381","5926078","6075706","6101390","6687510","6868810","7150259","","","8053125","","8158000","8168710","8290450","",
"Kyrgyz Republic","KGZ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","306000","","","","","342600","","","332900","340800","352204","361163","369172","380595","387580","473463","477914","473488","469779","465596","458660","453357","449399","444417","434155","423930","407669","399833","392485","390711","390963","405318","419064","434642","451212","469852","",
"Cambodia","KHM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","337729","484088","479616","","","","","","","","1328053","1538838","1597081","1504839","1367089","1315531","1294227","1279053","1313689","1276960","1329573","","","1621685","1703316","","1918985","2011772","2127428","2248109","2431142","2728698","2772113","2762882","2695372","2582250","2479644","2340606","2289759","2272527","2224267","2194716","2224955","2128685","2178916","2105903","",
"Kiribati","KIR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","11125","13962","11540","","14862","12792","13679","13481","13192","13235","13383","13836","13612","13194","13440","13331","13242","13551","14321","14709","15570","16020","16316","16800","17017","17279","17594","17557","14328","14566","15693","14809","15798","15611","16133","16087","15764","16123","15566","","","","","16192","15915","16880","",
"St. Kitts and Nevis","KNA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","8804","8724","8223","7818","8320","7149","7074","","8070","7655","7810","7796","7585","7473","7665","7249","7236","7068","7092","6938","","","6388","","6922","6717","6440","6401","6394","6350","","6172","6474","6334","6255","5993","5812","5589","5533","5466","5452","",
"Korea, Rep.","KOR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","5749301","5807448","5775880","5692285","5618768","5599074","5503737","5514417","5604365","5640712","5658002","5586494","5465248","5257164","5040958","4856752","4798323","4771722","4819857","4894261","4868520","4758505","4560128","4347317","4110302","3915848","3794447","3844949","3945977","4030413","4099649","4148432","4185330","4125529","4031590","3933186","3837761","3679629","3481764","3306211","3139724","2959090","2790890","2736224","2721766","","",
"Kuwait","KWT","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","75513","81671","88299","94039","101876","111820","125120","135479","139443","145626","148983","154772","160188","165696","170616","172975","176378","181607","185464","189560","124996","114641","122930","129956","131264","141841","143286","142308","139691","140182","141419","148712","154056","158271","202826","203423","211576","208608","210665","213733","223688","230280","239231","252585","264185","271285","",
"Latin America & Caribbean (excluding high income)","LAC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","244803","266790","274067","","","317126","414423","424330","451814","463098","479291","480535","480871","485741","495375","523347","","558852","","563734","576472","580792","637359","681044","710702","757551","786335","821546","827664","831521","828113","852857","875300","884629","890821","891881","891807","900817","908880","916341","900123","883938","878283","870893","850466","827987","",
"Lebanon","LBN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","435066","","","448535","","","","380695","","388482","405402","398977","382500","","329340","","399029","","346534","","","345662","346763","360858","365174","367862","382309","397905","413753","404169","476489","474396","471777","476446","475798","470988","473134","467311","464442","461719","456985","456206","471626","480923","491455","486613","",
"Liberia","LBR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","80217","84959","90192","","","104056","100217","","129776","134658","147216","","","","132889","","","","","","","","","","","","","","296188","395611","496253","","","","","","488438","","539887","605236","","674534","","","683977","684404","","",
"Libya","LBY","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","350225","407805","455449","488882","522473","556169","571723","574770","630423","645186","662843","","721710","","","748733","","","","","","","","","","","","","821775","","766087","750204","739028","745428","713902","755338","","","","","","","","","","","",
"St. Lucia","LCA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","23484","25430","27256","28422","29090","29859","30899","31091","31441","30610","29605","31199","31795","32107","33032","32817","32798","32809","33120","33148","33006","32622","32545","31928","30486","31194","31615","31548","25581","25347","25481","24954","24573","23821","23573","24046","22028","20938","20187","19483","18894","18172","17748","17286","16822","16445","",
"Latin America & Caribbean","LCN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Least developed countries: UN classification","LDC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","14098063.55578","14465088.53434","14829041.07092","15606422.48727","16563755.21628","17833446.15755","19446258.00224","21051364.47186","22457733.86451","23754900.38211","25506101.07205","27388499.68601","27689654.0364","28438273.00441","29048027.54331","29054950.76254","29588796.18642","29756976.16865","30685121.67532","31235449.15321","31408599.49885","33411783.343","33778736.06259","35100130.66429","36871560.3719","39715092.95943","41197841.56969","45487871.05545","47596538.27281","48513738.0923","51534779.41274","55024722.48827","60824778.40565","65474543.59449","69575987.37583","73622461.21484","78128417.13509","82429846.34324","87756510.05065","90604843.97529","93064747.52342","95579986.38764","98774708.38483","101772707.37545","104839573.55611","106059715.64752","108546361.54377","",
"Liechtenstein","LIE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2218","2266","2242","2247","2244","2158","2133","2067","2014","1980","","1929","1977","1998","",
"Sri Lanka","LKA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","1671428","1711885","1564572","1539473","1470300","1436300","1439300","1532350","1942663","2002200","2081391","2132596","2142377","2153595","2186712","2242645","2304499","2037313","2084000","2114800","2112023","2112723","2059203","2012702","1960495","1962498","1843848","","1801933","","","1767650","1729014","1667994","1580072","1610778","1611763","1621617","1631430","1619244","1720806","1735475","1752137","1767322","1777822","1778176","1770517","",
"Lower middle income","LMC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","125926650.46392","128852003.03331","134168762.20175","141115352.34088","144267454.94864","149199990.05568","152924766.6178","160180868.454","163366919.74157","169593243.85348","176479081.71447","183359437.75425","190838304.09514","198090600.83696","204165781.69766","207114436.19324","211291295.20388","213556699.17325","220743334.96005","228196883.91408","231095576.99336","236603902.37679","242007650.76308","249683929.75864","256283818.17276","257826572.35416","260078355.16003","264137697.26445","266332087.50173","270499348.87082","275539100.43627","277291304.75832","280944170.74217","293647802.69572","299778406.26323","307064767.48113","310438332.22881","316441183.96328","317744664.21155","320245074.16075","323990114.68421","328426724.10794","335292682.84938","338266703.43691","335658546.79598","338898427.94681","349454095.91047","",
"Low & middle income","LMY","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","175420","171454","176404","187459","218038","221922","222004","226019","228523","235604","244838","259046","277945","289590","297484","314003","319128","331857","345524","348818","351632","361144","362657","354275","366935","378011","374628","368895","369535","364951","410745","415007","418668","429720","427009","422278","424855","400943","396041","389424","388681","385437","381690","369469","366048","361637","360756","",
"Late-demographic dividend","LTE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","172064","","","","","172349","","","191655","193436","202222","202970","210834","215175","221569","223662","225701","222278","219661","218181","211650","197463","183542","170216","158105","150422","143814","135719","129496","122458","115581","111389","109028","108115","108038","110193","",
"Luxembourg","LUX","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","35976","34530","34527","33846","34490","29749","29430","29032","28465","27510","25604","24628","23838","22780","21979","","22003","21959","23375","","","23465","","","28205","27082","27844","28437","29094","31492","32458","33266","33966","34081","34603","35016","35431","35668","35630","","35187","35099","35397","35250","35435","35920","","",
"Latvia","LVA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","141376","141731","141364","140803","140815","140744","164377","165140","166072","135722","143338","146250","137095","132059","132465","139925","146653","146650","141408","134919","125634","113923","103359","92453","84369","78796","121345","117129","114236","113691","113668","113410","114091","114623","117303","","",
"Macao SAR, China","MAC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","25052","23659","23095","20205","19777","20758","24700","22560","24145","","","","","","","","","","31917","32935","34972","37872","40665","","","","","","46893","47262","45663","44368","41917","39872","37401","34739","32932","30487","27483","25326","23785","22646","22231","22862","24252","26436","",
"St. Martin (French part)","MAF","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1175277","1231936","1275857","1337931","1413993","1547647","1667773","1793772","1925187","2051862","2172289","2309696","2442726","2474440","2278734","2279887","2227960","2176847","2110719","2163185","2483691","2578566","2727833","2873883","3006631","3101555","3160907","3254354","3461940","3669605","3842000","4029112","4101157","4070182","4022600","3943831","3939177","3878640","3850994","3945201","4001313","4016934","4021052","4030142","4039392","4101743","",
"Monaco","MCO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1486","1486","","","","","","1558","","","","","1354","","","","","","","","1773","1761","","1815","1838","1893","1919","1956","2022","2008","1985","","","1831","","","","1852","1837","1820","1760","1766","1753","1752","1959","2001","",
"Moldova","MDA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","230624","","","","","248005","","","273426","285826","301653","306933","307604","307447","322612","320055","320725","","262137","252193","235461","224495","212552","198911","184159","171024","160528","151736","145369","141197","138436","138095","138282","138420","138536","137845","",
"Madagascar","MDG","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","938015","1004445","1030342","1033993","1133013","1210841","1311179","1398936","1454554","1597596","1723779","1731383","1701601","1651012","1625216","","","1487728","1534142","1512322","1570721","1496845","1490317","1504668","1511408","1638187","","1889885","2012416","2208321","2307500","2407644","2856480","3366470","3597731","3698906","3837343","4020322","4323981","4241916","4305069","4402722","4483030","4610722","4763524","4733726","",
"Maldives","MDV","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","30621","","34090","","","","39775","","","","","","45333","48321","50915","50733","51220","50230","73519","74050","73522","71054","68242","66169","63300","57873","54770","50270","47082","44675","42146","40201","38849","38183","39570","42137","43781","",
"Middle East & North Africa","MEA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mexico","MEX","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","9248290","9711496","10195167","10762665","10999713","11461415","12148221","12560035","13536265","14126414","14666257","14981028","15222916","15376153","15219245","15124160","14994642","14768008","14656357","14493763","14401588","14396993","14425669","14469450","14574202","14623438","14650521","14647797","14697915","14765603","14792528","14843381","14857191","14781327","14700005","14595195","14631498","14699146","14861232","14906476","14934663","14956982","14837204","14627368","14397928","14297027","",
"Marshall Islands","MHL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8209","","","8757","7602","8250","8055","8270","8215","8342","8398","","8546","","","","8236","7941","",
