Summary of Federal Government Finances (=N= Billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources ,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
% ot GDP ,-8.7,2.6,-0.8,1.5,9.8,-2,-4,-2.4,-7.8,3.4,3.9,-4.136866254,-6.042991708,-3.056856925,-2.288079511,-2.258562669,-6.132315254,-3.049663842,-4.618745127,-3.959253169,-6.730277585,-6.552502795,-4.516232123,-5.979527655,-5.020392822,0.034395487,0.794816787,-0.119353113,-3.34355088,-6.09300662,-1.545783022,-3.205838172,-3.866225533,-2.044931942,-1.512578109,-1.104699265,-0.546187522,-0.567533026,-0.195007235,-3.266922079,-2.039305573,-1.818329015,-1.343923016,-1.423886832,-0.927119987,-1.636720298,-2.150494402
Financing: ,0.4551,-0.1716,0.0588,-0.1661,-1.7964,0.4279,1.0908,0.7814,2.8219,-1.4617,1.9752,3.9021,6.1041,3.3645,2.6604,3.0397,8.2543,5.8897,12.1609,15.1347,22.1161,35.7552,39.5325,65.1577,70.2706,-1,-32.0494,5,133.3893,285.1047,103.7773,221.0489,301.4016,202.7247,172.6013,161.4063,101.3975,104.86309,47.381765,809.9905,1105.3817,1158.5185,975.7484355,1153.490219,835.678,1557.793319,2208.222445
Foreign (net) ,0.001,0.0409,0.0409,0.0489,0.0455,0.0275,0.0245,-0.0095,1.5,0.3638,0.2553,0.4644,0.2635,1.1069,1.1845,1.0459,0.7081,0.8327,1.9187,5.719,0.9806,2.9726,-11.8596,16.9635,8.3908,22.4554,7.8254,13.3826,16.6056,21.0408,0.0000119,0,0,0,0,0,0,0,0,29.812,75.0272,73.3283,0,0,0,0,0
Domestic (net) ,0.2274,0.3001,0.0003,0.0605,0.2423,0.453,1.0413,1.8863,1.5825,0.729,0.3871,4.2008,3.402,7.057,2.9282,0.5712,0.4755,6.4656,8.3618,-5.7978,6.0926,32.1124,46.7167,91.136,60.2476,7.1022,-32.0494,-8.3826,116.7837,264.0659,103.4473,118.72,149.0267,163.7464,46.5,143.5,45,212.3,150.681765,577.59,1110.5045,855.2975,975.7484355,1153.490219,835.678,1557.793319,2208.222445
Banking System(net) ,0.1656,0.276,0.0063,0.0285,0.1885,0.3629,0.62,1.5998,1.2505,0.1016,0.1507,3.018,3.9892,5.2963,2.37,0.7856,0.4752,2.8097,6.1024,-9.2364,2.7277,31.1071,33.5989,89.402,40.9001,17.8196,-153.1432,-62.8805,108.9905,172.6381,73.137,136.7341,60.7945,134.2464,0,0,0,159.8013,67.90369262,175.61,749.7,496.432,471.3390627,510.4410891,428.8254,834.085,0.2
of which ,0,0,0,0,0,0,0,0,0,0,0,3.6241,2.9892,3.2712,-1.4189,-0.5676,6.0427,0.5909,7.4737,-6.4774,-1.498,18.4308,46.4334,62.3836,41.253,7.3126,-52.2884,12.795,174.8751,0,-16.2099,225.6855,-200.1735,94.0464,0,0,0,0,-4.21379958,0,118.45,6.202711533,45.35490261,58.70755073,0,615.955,0.2
CBN ,0.045,0.0689,-0.0816,0.0281,-0.1469,0.2941,1.46,1.2234,1.2755,-1.211,-0.1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.3469,-88.9514,260.968,40.2,0,0,0,159.8013,72.1174922,175.61,631.25,490.2292885,425.9841601,451.7335384,428.8254,218.13,0
Non Bank Public ,0.0618,0.0241,-0.006,0.032,0.0538,0.0901,0.4213,0.2865,0.307,0.6274,0.2364,1.1828,0.4128,1.7607,0.5582,-0.2144,0.0003,3.6559,2.2594,3.4386,3.3649,1.0053,13.1178,1.734,19.3475,-10.7174,9.9537,2.2434,-5.1048,-18.5607,30.3103,-18.0141,88.2322,29.5,46.5,143.5,45,40.2111,82.77807238,394.98,354.45,355.84,273.1093728,257.7349109,195.3746,111.87,524.601
other Funds 3/,0.2267,-0.5126,0.0176,-0.2755,-2.0842,-0.0526,0.025,-1.0954,-0.2606,-2.5545,1.3328,-0.7631,2.4386,-4.7994,-1.4523,1.4226,7.0707,-1.4086,1.8804,15.2135,15.0429,0.6702,4.6754,-0.3642,1.6322,-30.5576,103.3147,52.2545,12.898,109.9865,0.33,102.3289,152.3749,39,126.1013,17.9063,56.3975,-95.14931,-103.3,202.5885,-80.15,229.8927,223.8,385.3142186,211.478,539.2433189,1677.499445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
